"","symbol","weight"
"34815","ARL8B",2
"61607","ARL9",1
"74678","ARMC1",3
"65760","ARMC10",2
"25084","ARMC12",2
"38873","ARMC2",3
"74680","ARMC3",6
"86427","ARMC4",6
"80701","ARMC5",8
"90319","ARMC6",3
"31940","ARMC7",3
"63196","ARMC8",3
"74201","ARMC9",6
"74683","ARMCX1",9
"82879","ARMCX2",5
"74684","ARMCX3",1
"89576","ARMCX4",5
"74685","ARMCX5",5
"74686","ARMCX6",2
"60434","ARNT",4
"52007","ARNT2",1
"86196","ARNTL",2
"47008","ARNTL2",1
"72061","ARPC1A",3
"61902","ARPC1B",2
"74689","ARPC2",5
"46300","ARPC4-TTLL3",1
"40556","ARPC5",1
"74275","ARPC5L",3
"88073","ARPP21",9
"73676","ARR3",3
"47566","ARRB1",1
"55067","ARRB2",2
"62312","ARRDC3",3
"63877","ARRDC4",4
"57296","ARSA",2
"87327","ARSB",5
"85175","ARSE",4
"89436","ARSF",1
"22557","ARSG",1
"27233","ARSH",1
"22558","ARSI",2
"74693","ARSJ",2
"61141","ARSK",6
"73823","ART5",4
"90151","ARV1",2
"73677","ARVCF",4
"22559","ARX",1
"85176","AS3MT",4
"60200","ASAH1",1
"88252","ASAP1",10
"82859","ASAP2",6
"52011","ASAP3",3
"85177","ASB1",2
"87442","ASB10",9
"51166","ASB11",2
"69103","ASB13",3
"52012","ASB14",2
"12323","ASB15",1
"47139","ASB17",4
"83926","ASB18",2
"48155","ASB2",2
"48689","ASB4",3
"86197","ASB5",3
"39183","ASB6",2
"74697","ASB7",3
"83824","ASB8",1
"74698","ASB9",4
"37040","ASCC1",1
"67970","ASCC2",5
"86428","ASCC3",8
"15884","ASCL3",1
"40117","ASF1A",3
"64545","ASF1B",1
"65762","ASGR1",1
"52015","ASGR2",4
"87943","ASH1L",21
"49849","ASH2L",4
"74702","ASIC1",6
"4601","ASIC2",3
"85178","ASIC3",8
"67613","ASIC4",2
"9192","ASIC5",1
"83302","ASL",5
"4885","ASMT",1
"71076","ASMTL",4
"89336","ASNA1",2
"89763","ASNS",3
"74705","ASNSD1",7
"60315","ASPA",5
"83787","ASPDH",1
"56298","ASPG",3
"74708","ASPH",10
"65766","ASPHD2",5
"80189","ASPM",27
"22044","ASPN",1
"38874","ASPRV1",3
"74713","ASPSCR1",5
"5306","ASS1",1
"60435","ASTE1",4
"74714","ASTL",2
"80064","ASTN1",21
"69108","ASTN2",8
"55008","ASUN",3
"65193","ASXL1",10
"88253","ASXL2",19
"81144","ASXL3",16
"80913","ASZ1",5
"30552","ATAD1",1
"87677","ATAD2",8
"82912","ATAD2B",16
"7786","ATAD3A",2
"89337","ATAD3B",3
"63936","ATAD5",9
"5611","ATAT1",1
"64304","ATCAY",2
"14750","ATE1",3
"72181","ATF1",3
"74722","ATF2",4
"22563","ATF3",2
"73912","ATF4",4
"68154","ATF5",3
"74723","ATF6",7
"86432","ATF6B",1
"86132","ATF7",1
"73969","ATF7IP",6
"58416","ATF7IP2",1
"40589","ATG12",1
"85180","ATG13",3
"72342","ATG14",4
"68385","ATG16L1",7
"84095","ATG16L2",5
"81804","ATG2A",13
"71130","ATG2B",6
"59543","ATG3",2
"87034","ATG4A",7
"80386","ATG4B",1
"64546","ATG4D",5
"80282","ATG5",4
"46155","ATG7",5
"74724","ATG9A",4
"90320","ATHL1",10
"62713","ATIC",3
"74726","ATL1",4
"40596","ATL2",4
"89666","ATL3",4
"84096","ATM",23
"48031","ATMIN",1
"71131","ATN1",15
"71252","ATOH1",5
"89115","ATP10A",15
"81834","ATP10B",18
"88379","ATP10D",10
"86434","ATP11A",15
"74734","ATP11B",6
"89854","ATP11C",8
"73247","ATP12A",3
"58282","ATP13A1",4
"88380","ATP13A2",3
"74738","ATP13A3",6
"70852","ATP13A4",10
"87839","ATP13A5",4
"84098","ATP1A1",11
"69116","ATP1A2",7
"68280","ATP1A3",5
"88746","ATP1A4",14
"80283","ATP1B1",3
"68647","ATP1B3",1
"69119","ATP1B4",4
"83525","ATP2A1",14
"82427","ATP2A2",5
"29040","ATP2A3",2
"74746","ATP2B1",14
"89116","ATP2B2",14
"63155","ATP2B3",10
"88254","ATP2B4",12
"74750","ATP2C1",7
"74751","ATP2C2",7
"58822","ATP4A",8
"73248","ATP4B",3
"82679","ATP5A1",4
"47567","ATP5B",1
"59753","ATP5C1",1
"71253","ATP5F1",3
"52036","ATP5G2",2
"69121","ATP5L",1
"85183","ATP5O",2
"74753","ATP5SL",1
"85184","ATP6AP1",2
"74754","ATP6AP2",1
"74755","ATP6V0A1",6
"74756","ATP6V0A2",3
"74757","ATP6V0A4",4
"82247","ATP6V0B",2
"48705","ATP6V0C",2
"87585","ATP6V0D2",2
"74758","ATP6V0E1",2
"40617","ATP6V0E2",1
"89937","ATP6V1A",4
"83065","ATP6V1B1",6
"74761","ATP6V1B2",4
"40620","ATP6V1C1",3
"74762","ATP6V1C2",2
"74763","ATP6V1D",2
"68031","ATP6V1E1",1
"22571","ATP6V1E2",2
"16742","ATP6V1G2",1
"72344","ATP6V1G3",2
"74765","ATP6V1H",2
"83673","ATP7A",14
"81254","ATP7B",6
"74767","ATP8A1",4
"57011","ATP8A2",4
"84099","ATP8B1",3
"90368","ATP8B2",13
"47961","ATP8B3",7
"74768","ATP8B4",5
"90030","ATP9A",9
"60528","ATP9B",4
"74770","ATPAF1",2
"13538","ATPAF1-AS1",1
"59355","ATPBD4",2
"88784","ATPIF1",2
"86436","ATR",13
"6337","ATRAID",1
"65774","ATRIP",4
"64548","ATRN",8
"81145","ATRNL1",5
"84101","ATRX",22
"80417","ATXN1",9
"69128","ATXN10",4
"64747","ATXN1L",1
"90321","ATXN2",17
"65777","ATXN2L",6
"27319","ATXN3",3
"28687","ATXN3L",3
"71254","ATXN7",5
"85185","ATXN7L1",7
"85020","ATXN7L2",3
"34292","ATXN7L3",1
"57012","AUH",1
"70853","AUNIP",3
"38649","AUP1",3
"81256","AURKA",6
"71077","AURKAIP1",2
"39377","AURKB",3
"57985","AURKC",2
"65778","AUTS2",8
"29043","AVEN",1
"81022","AVIL",6
"56131","AVL9",5
"33182","AVPI1",2
"89016","AVPR1B",6
"67746","AVPR2",3
"62369","AWAT1",4
"74786","AWAT2",3
"89577","AXDND1",5
"59379","AXIN1",7
"65779","AXIN2",5
"71726","AXL",7
"59042","AZGP1",1
"69130","AZI1",5
"60929","AZI2",3
"25272","AZIN1",3
"37419","AZU1",1
"68744","B2M",3
"29044","B3GALNT1",2
"52050","B3GALT1",3
